Sample,"Volt avg 1","Curr avg 1"
10,5.000340,0.887030
11,5.000340,1.615120
12,5.000340,1.967060
13,5.000340,1.988650
14,5.000340,1.687730
15,5.000340,1.732870
16,5.000340,1.689690
17,5.000340,1.698850
18,5.000340,1.651750
19,5.000340,1.485590
20,5.000340,1.455500
21,5.000340,1.399900
22,5.000340,1.382890
23,5.000340,1.366530
24,5.000340,1.380930
25,5.000340,1.367840
26,5.000340,1.378960
27,5.000340,1.382230
28,5.000340,1.375040
29,5.000340,1.384850
30,5.000340,1.380270
31,5.000340,1.369150
32,5.000340,1.379620
33,5.000340,1.387470
34,5.000340,1.380930
35,5.000340,1.388780
36,5.000340,1.379620
37,5.000340,1.389430
38,5.000340,1.381580
39,5.000340,1.471860
40,5.000340,1.467930
41,5.000340,1.463350
42,5.000340,1.485590
43,5.000340,1.476430
44,5.000340,1.480360
45,5.000340,1.487560
46,5.000340,1.479710
47,5.000340,1.490170
48,5.000340,1.488210
49,5.000340,1.481010
50,5.000340,1.198410
51,5.000340,1.606610
52,5.000340,1.462040
53,5.000340,1.481670
54,5.000340,1.484940
55,5.000340,1.483630
56,5.000340,1.509140
57,5.000340,1.455500
58,5.000340,1.490830
59,5.000340,1.490170
60,5.000340,1.490170
61,5.000340,1.491480
62,5.000340,1.059730
63,5.000340,1.460730
64,5.000340,1.473160
65,5.000340,1.487560
66,5.000340,1.490830
67,5.000340,1.484940
68,5.000340,1.486250
69,5.000340,1.496060
70,5.000340,1.498020
71,5.000340,1.531380
72,5.000340,1.531380
73,5.000340,1.524840
74,5.000340,1.112060
75,5.000340,1.511760
76,5.000340,1.508490
77,5.000340,1.520920
78,5.000340,1.525500
79,5.000340,1.532690
80,5.000340,1.552970
81,5.000340,1.537270
82,5.000340,1.541850
83,5.000340,1.535960
84,5.000340,1.538580
85,5.000340,1.438490
